[2024-09-25 14:53:19] Invalid redirect attempt to: investime.php from IP: ::1
[2024-09-25 14:55:37] Email sent successfully for page: invoice.php from IP: ::1
[2024-09-25 14:56:40] Invalid redirect attempt to: investime.php from IP: ::1
[2024-09-25 14:56:46] Invalid redirect attempt to: lista_kopjeve_rezerve.php from IP: ::1
[2024-09-25 14:56:52] Email sent successfully for page: klient.php from IP: ::1
[2024-09-25 14:59:40] Email sent successfully for page: index.php from IP: ::1
[2024-09-25 15:07:16] Invalid redirect attempt to: lista_kopjeve_rezerve.php from IP: ::1
[2024-09-25 15:08:45] Email sent successfully for page: lista_kopjeve_rezerve.php from IP: ::1
[2024-09-25 15:08:50] Rate limit exceeded for IP: ::1
[2024-09-25 15:08:54] Rate limit exceeded for IP: ::1
[2024-09-25 15:09:00] Rate limit exceeded for IP: ::1
[2024-09-25 15:09:31] Email sent successfully for page: investime.php from IP: ::1
[2024-09-25 15:09:35] Email sent successfully for page: strike-platform.php from IP: ::1
[2024-09-25 16:15:10] Invalid redirect attempt to: invoice_list_2.php from IP: ::1
[2024-09-25 16:15:27] Email sent successfully for page: invoice_list_2.php from IP: ::1
[2024-09-25 16:36:29] Email sent successfully for page: invoice.php from IP: ::1
[2024-09-25 16:44:49] Email sent successfully for page: klient.php from IP: ::1
[2024-09-25 16:44:58] Email sent successfully for page: invoice.php from IP: ::1
[2024-09-26 10:42:51] Email sent successfully for page: invoice.php from IP: ::1
[2024-09-26 10:59:08] Email sent successfully for page: klient.php from IP: ::1
[2024-09-26 10:59:39] Email sent successfully for page: klient.php from IP: ::1
[2024-09-26 10:59:43] Email sent successfully for page: invoice.php from IP: ::1
[2024-09-26 11:02:41] Email sent successfully for page: invoice.php from IP: ::1
[2024-09-26 11:49:13] Email sent successfully for page: index.php from IP: ::1
[2024-09-26 11:49:21] Email sent successfully for page: invoice.php from IP: ::1
[2024-09-26 14:05:13] Email sent successfully for page: shpenzimet_objekt.php from IP: ::1
[2024-09-26 14:23:57] Email sent successfully for page: invoice.php from IP: ::1
[2024-09-26 14:29:00] Email sent successfully for page: klient.php from IP: ::1
[2024-09-27 09:37:07] Email sent successfully for page: claim.php from IP: ::1
[2024-09-27 09:49:13] Email sent successfully for page: claim.php from IP: ::1
[2024-09-27 13:11:25] Email sent successfully for page: invoice.php from IP: ::1
[2024-09-30 09:47:34] Email sent successfully for page: invoice.php from IP: ::1
[2024-09-30 09:47:44] Email sent successfully for page: index.php from IP: ::1
[2024-09-30 10:02:44] Email sent successfully for page: pagesat.php from IP: ::1
[2024-09-30 10:20:21] Email sent successfully for page: invoice.php from IP: ::1
[2024-09-30 10:20:21] Email sent successfully for page: invoice.php from IP: ::1
[2024-09-30 10:20:54] Email sent successfully for page: pagesat_punetor.php from IP: ::1
[2024-09-30 10:22:15] Email sent successfully for page: shpenzimet_objekt.php from IP: ::1
[2024-09-30 10:22:26] Email sent successfully for page: ttatimi.php from IP: ::1
[2024-09-30 10:23:02] Email sent successfully for page: kontabiliteti_pagesat.php from IP: ::1
[2024-09-30 10:34:35] Email sent successfully for page: kontrata_2.php from IP: ::1
[2024-09-30 11:07:51] Email sent successfully for page: klient.php from IP: ::1
[2024-09-30 11:16:50] Email sent successfully for page: kontrata_gjenelare_2.php from IP: ::1
[2024-09-30 11:16:51] Email sent successfully for page: lista_kontratave_gjenerale.php from IP: ::1
[2024-09-30 12:12:35] Email sent successfully for page: invoice.php from IP: ::1
[2024-09-30 14:24:55] Invalid redirect attempt to: autor.php from IP: ::1
[2024-10-01 10:40:34] Email sent successfully for page: lista_kontratave.php from IP: ::1
[2024-10-01 10:40:57] Email sent successfully for page: lista_kontratave_gjenerale.php from IP: ::1
[2024-10-01 10:57:54] Email sent successfully for page: yinc.php from IP: ::1
[2024-10-01 11:20:40] Email sent successfully for page: yinc.php from IP: ::1
[2024-10-01 11:22:17] Email sent successfully for page: yinc.php from IP: ::1
[2024-10-01 11:37:03] Email sent successfully for page: listaEFaturaveTePlatformave.php from IP: ::1
[2024-10-01 11:37:33] Email sent successfully for page: faturaFacebook.php from IP: ::1
[2024-10-01 11:43:46] Email sent successfully for page: invoice.php from IP: ::1
[2024-10-01 11:56:43] Email sent successfully for page: roles.php from IP: ::1
[2024-10-01 11:56:44] Email sent successfully for page: rrogat.php from IP: ::1
[2024-10-01 11:56:49] Email sent successfully for page: roles.php from IP: ::1
[2024-10-01 13:40:03] Email sent successfully for page: pagesat.php from IP: ::1
[2024-10-01 13:40:11] Email sent successfully for page: invoice.php from IP: ::1
[2024-10-01 13:44:30] Email sent successfully for page: ttatimi.php from IP: ::1
[2024-10-01 13:44:31] Email sent successfully for page: ttatimi.php from IP: ::1
[2024-10-01 13:45:50] Email sent successfully for page: pasqyrat.php from IP: ::1
[2024-10-01 13:45:52] Email sent successfully for page: pasqyrat.php from IP: ::1
[2024-10-01 13:45:54] Email sent successfully for page: pasqyrat.php from IP: ::1
[2024-10-01 13:47:10] Email sent successfully for page: shpenzimet_objekt.php from IP: ::1
[2024-10-01 14:22:34] Email sent successfully for page: pagesat_punetor.php from IP: ::1
[2024-10-01 14:25:44] Email sent successfully for page: invoice.php from IP: ::1
[2024-10-01 14:36:30] Email sent successfully for page: shpenzimep.php from IP: ::1
[2024-10-01 15:21:34] Email sent successfully for page: klient.php from IP: ::1
[2024-10-01 15:23:09] Email sent successfully for page: klient.php from IP: ::1
[2024-10-01 15:27:44] Email sent successfully for page: klient.php from IP: ::1
[2024-10-02 11:26:31] Email sent successfully for page: klient.php from IP: ::1
[2024-10-02 11:37:45] Email sent successfully for page: invoice_list_2.php from IP: ::1
[2024-10-02 11:42:57] Email sent successfully for page: index.php from IP: ::1
[2024-10-02 12:55:15] Email sent successfully for page: shpenzimet_objekt.php from IP: ::1
[2024-10-02 13:00:02] Email sent successfully for page: shpenzimet_objekt.php from IP: ::1
[2024-10-02 13:49:34] Email sent successfully for page: klient.php from IP: ::1
[2024-10-02 14:07:12] Email sent successfully for page: shpenzimet_objekt.php from IP: ::1
[2024-10-02 14:07:15] Email sent successfully for page: shpenzimet_objekt.php from IP: ::1
[2024-10-02 14:17:43] Email sent successfully for page: klient.php from IP: ::1
[2024-10-03 11:36:43] Email sent successfully for page: lista_kopjeve_rezerve.php from IP: ::1
[2024-10-03 11:42:58] Email sent successfully for page: invoice.php from IP: ::1
[2024-10-03 11:50:12] Email sent successfully for page: index.php from IP: ::1
[2024-10-03 11:56:01] Email sent successfully for page: lista_kopjeve_rezerve.php from IP: ::1
[2024-10-03 11:57:50] Email sent successfully for page: index.php from IP: ::1
[2024-10-03 11:58:35] Email sent successfully for page: invoice.php from IP: ::1
[2024-10-03 12:07:12] Email sent successfully for page: index.php from IP: ::1
[2024-10-03 12:07:13] Email sent successfully for page: investime.php from IP: ::1
[2024-10-03 12:07:13] Email sent successfully for page: stafi.php from IP: ::1
[2024-10-03 12:07:14] Email sent successfully for page: lista_kopjeve_rezerve.php from IP: ::1
[2024-10-03 12:07:15] Email sent successfully for page: roles.php from IP: ::1
[2024-10-03 12:07:15] Email sent successfully for page: rrogat.php from IP: ::1
[2024-10-03 12:07:16] Email sent successfully for page: aktiviteti.php from IP: ::1
[2024-10-03 12:07:16] Email sent successfully for page: office_investments.php from IP: ::1
[2024-10-03 12:07:16] Email sent successfully for page: office_damages.php from IP: ::1
[2024-10-03 12:07:18] Email sent successfully for page: klient.php from IP: ::1
[2024-10-03 12:07:18] Email sent successfully for page: office_requirements.php from IP: ::1
[2024-10-03 12:07:19] Email sent successfully for page: emails.php from IP: ::1
[2024-10-03 12:07:19] Email sent successfully for page: ads.php from IP: ::1
[2024-10-03 12:07:19] Email sent successfully for page: kategorit.php from IP: ::1
[2024-10-03 12:07:20] Email sent successfully for page: rating_list.php from IP: ::1
[2024-10-03 12:07:20] Email sent successfully for page: klient-avanc.php from IP: ::1
[2024-10-03 12:07:20] Email sent successfully for page: shtoy.php from IP: ::1
[2024-10-03 12:07:21] Email sent successfully for page: whitelist.php from IP: ::1
[2024-10-03 12:07:21] Email sent successfully for page: listang.php from IP: ::1
[2024-10-03 12:07:22] Email sent successfully for page: claim.php from IP: ::1
[2024-10-03 12:07:22] Email sent successfully for page: pagesat.php from IP: ::1
[2024-10-03 12:07:23] Email sent successfully for page: invoice.php from IP: ::1
[2024-10-03 12:07:23] Email sent successfully for page: faturat.php from IP: ::1
[2024-10-03 12:07:24] Email sent successfully for page: tatimi.php from IP: ::1
[2024-10-03 12:07:24] Email sent successfully for page: shpenzimep.php from IP: ::1
[2024-10-03 12:07:24] Email sent successfully for page: pasqyrat.php from IP: ::1
[2024-10-03 12:07:25] Email sent successfully for page: pagesat_punetor.php from IP: ::1
[2024-10-03 12:07:25] Email sent successfully for page: shpenzimet_objekt.php from IP: ::1
[2024-10-03 12:07:26] Email sent successfully for page: ttatimi.php from IP: ::1
[2024-10-03 12:07:26] Email sent successfully for page: takimet.php from IP: ::1
[2024-10-03 12:07:27] Email sent successfully for page: kontabiliteti_pagesat.php from IP: ::1
[2024-10-03 12:07:28] Email sent successfully for page: notes.php from IP: ::1
[2024-10-03 12:07:28] Email sent successfully for page: logs.php from IP: ::1
[2024-10-03 12:07:28] Email sent successfully for page: kontrata_gjenelare_2.php from IP: ::1
[2024-10-03 12:07:29] Email sent successfully for page: lista_kontratave_gjenerale.php from IP: ::1
[2024-10-03 12:07:29] Email sent successfully for page: ofertat.php from IP: ::1
[2024-10-03 12:07:29] Email sent successfully for page: vegla_facebook.php from IP: ::1
[2024-10-03 12:07:30] Email sent successfully for page: faturaFacebook.php from IP: ::1
[2024-10-03 12:07:30] Email sent successfully for page: lista_faturave_facebook.php from IP: ::1
[2024-10-03 12:07:31] Email sent successfully for page: csvFiles.php from IP: ::1
[2024-10-03 12:07:31] Invalid redirect attempt to: autor.php from IP: ::1
[2024-10-03 12:07:31] Invalid redirect attempt to: ascap.php from IP: ::1
[2024-10-03 12:07:31] Email sent successfully for page: filtroCSV.php from IP: ::1
[2024-10-03 12:07:32] Email sent successfully for page: listaEFaturaveTePlatformave.php from IP: ::1
[2024-10-03 12:07:33] Email sent successfully for page: pagesatEKryera.php from IP: ::1
[2024-10-03 12:07:33] Email sent successfully for page: platform_invoices.php from IP: ::1
[2024-10-03 12:07:33] Email sent successfully for page: currency.php from IP: ::1
[2024-10-03 12:07:34] Email sent successfully for page: invoice_list_2.php from IP: ::1
[2024-10-03 12:08:09] Email sent successfully for page: klient.php from IP: ::1
[2024-10-03 16:01:55] Email sent successfully for page: aktiviteti.php from IP: ::1
[2024-10-04 14:23:34] Email sent successfully for page: klient.php from IP: ::1
[2024-10-04 15:26:14] Email sent successfully for page: klient.php from IP: ::1
[2024-10-07 11:48:07] Email sent successfully for page: ttatimi.php from IP: ::1
[2024-10-07 14:10:12] Email sent successfully for page: ttatimi.php from IP: ::1
[2024-10-09 11:33:43] Email sent successfully for page: ttatimi.php from IP: 127.0.0.1
[2024-10-09 16:55:35] Email sent successfully for page: shpenzimet_objekt.php from IP: 127.0.0.1
[2024-10-10 12:06:23] Email sent successfully for page: tatimi.php from IP: 127.0.0.1
[2024-10-10 12:06:31] Email sent successfully for page: tatimi.php from IP: 127.0.0.1
[2024-10-10 14:57:51] Email sent successfully for page: index.php from IP: 127.0.0.1
